Sample,ELMO2,CREB3L1,RPS11,PNMA1,MMP2,C10orf90,ZHX3,ERCC5,GPR98,RXFP3,APBB2,KLHL13,KLK10,PDCL3,DECR1,SALL1,CADM4,RPS18,HNRPD,CFHR5,SLC10A7,OR2K2,LMAN1,SUHW1,CHD8,SUMO1,GP1BA,DDB1,MYO9B,MMP7,CRNKL1,C9orf45,XAB2,RTN1,KLHL14,TBX10,CENPQ,UTY,ZBTB12,DTNBP1,KBTBD8,ZEB1,ZG16,MIER1,ADAM5P,CHD9,STK16,KIAA1486,TOB2
TCGA-A1-A0SE,0.181416667,0.89075,0.716,0.13175,0.957833333,-0.59025,-0.043666667,-0.2385,-0.15225,0.4425,1.52475,0.46125,-0.7715,0.3675,0.1445,-3.038333333,1.220666667,0.575571429,-0.426583333,0.255666667,0.350875,-0.201,-0.573625,-4.133,0.0108,0.5241,0.7352,-0.511,-0.2624,6.551,0.797125,-0.993833333,0.015,1.443,-0.7405,-1.1665,-1.556,-1.272928571,0.3675,-0.386125,-2.397833333,1.220666667,-1.57525,0.5495,0.4815,-0.299625,0.81375,-0.498,0.905666667
TCGA-A2-A04N,-0.486,1.18425,0.50475,0.53325,0.583,-1.649,-0.183666667,0.46675,0.383625,0.261,2.46725,-0.9095,0.185666667,0.702833333,1.245375,-2.163166667,0.028333333,0.170214286,-0.577083333,0.512666667,0.899,0.0165,-1.004375,-3.02725,0.6026,0.9808,1.4973,-0.428166667,-0.8298,6.0935,1.1205,-1.0935,-0.0895,1.749125,-0.54875,-1.129,-1.19975,-1.079357143,-0.5645,0.14825,-0.851666667,1.482,0.5855,1.3909,0.7895,0.623,-0.236,-0.129,0.116583333
TCGA-A2-A04Q,-0.453666667,0.2375,0.393125,-0.077,1.628833333,-1.94625,-0.603333333,0.1915,-2.177375,0.9355,0.6385,-1.04725,-0.658333333,0.657,0.993625,-3.919333333,1.315166667,0.108357143,-0.394333333,0.196333333,0.293857143,-0.909,-0.469625,-3.67625,0.0484,0.8766,2.1074,0.141666667,0.3125,8.478,0.040375,-1.604166667,0.1765,1.552375,-0.476125,-1.1305,-1.40175,-1.179916667,-0.905,0.13525,-0.1415,1.173333333,-1.547,0.9269,0.9665,1.10525,0.4655,-1.119,0.727416667
TCGA-A2-A04R,-0.252,0.9585,0.9165,1.1715,-0.39,-2.30575,-0.356666667,-0.3015,0.5315,0.4445,1.606,-1.3,-0.8445,0.545166667,0.23925,-3.231166667,1.219666667,0.701357143,-0.9595,0.295333333,0.143375,0.332,-0.58875,-4.03425,0.0874,0.7319,0.2275,0.257,-0.2848,6.219,0.5875,-0.234666667,0.557125,0.4085,-1.81075,-1.0405,-1.78075,-1.379923077,-0.1335,0.3805,-2.5995,1.223166667,1.8025,0.602,0.038,0.0175,0.475,-0.047,0.578
TCGA-A2-A0CP,-0.620083333,1.51075,0.703,0.682,0.861,-1.17875,0.08,0.48725,-0.188125,0.181,1.4535,-0.13625,-0.318666667,0.539,0.32475,-2.387666667,0.768166667,0.687571429,-0.501166667,0.3924,0.32325,0.328,-1.44925,-4.1175,0.3052,0.6522,0.3636,-0.179166667,-0.4835,7.294,0.434375,-0.9105,-0.461625,1.931,-1.038875,-2.024,-2.17725,-1.051571429,-0.972,-0.074375,-1.077,2.4135,-0.8735,1.5565,-0.159,0.2891875,0.21275,-0.2245,0.486
TCGA-A2-A0CQ,-0.381333333,1.02225,0.406625,-1.308,-0.7395,-1.957666667,-0.007,0.68825,0.335571429,0.8015,2.1325,-2.35775,-0.901333333,0.315333333,-0.408625,-4.330166667,1.097,-0.374071429,-0.809,0.3052,0.182125,0.639,-1.2545,-3.63425,0.2511,0.5885,0.3015,-0.136166667,-0.2131,3.19425,0.119625,-0.773,-0.04575,3.6945,-0.98425,-1.1235,-2.60475,-0.89025,-0.221,-0.6705,-1.403333333,0.3375,-1.93125,1.3604,0.241,-0.3053125,0.53225,-1.094,1.20575
TCGA-A2-A0D3,-0.186916667,0.617,0.25075,-0.98725,0.340166667,-2.19875,-0.7885,0.6425,1.656428571,0.2155,0.81075,-1.98325,1.369333333,0.063833333,0.598625,-4.103333333,0.832833333,0.5565,-1.044916667,0.64875,-0.113,-0.367,-1.414375,-2.801,0.7243,-0.2534,0.7975,0.360666667,-0.2921,3.0475,1.051,-1.167333333,0.828125,1.111125,-0.99325,-0.8465,-2.2815,-1.432846154,0.122,-0.531125,-1.017666667,-0.314,-1.01575,0.3154,-0.271,-0.26425,0.946,-0.2075,0.8625
TCGA-A2-A0EM,0.413666667,1.359,0.60175,1.265,0.028,-2.3915,0.008333333,-0.13325,-1.876,0.451,1.80525,-2.78625,-0.698666667,0.2815,0.371625,-2.371333333,0.896833333,0.491928571,-0.526583333,0.754166667,-0.697,1.27,0.220375,-3.586,-0.3683,0.8482,0.4384,0.0285,-0.3402,5.1805,0.40175,-0.4625,-0.189125,1.962125,-1.240166667,-0.8045,-1.815,-1.399,-0.252,0.5135,-1.670666667,0.795333333,-1.696,0.5815,-0.321,-0.666375,0.52,-0.3045,0.755
TCGA-A2-A0EO,-0.143333333,0.88325,0.578875,0.371,1.208,-1.65325,-0.141833333,0.17825,0.357875,0.0055,1.58925,-0.81575,-0.7575,-0.251833333,-0.0955,-2.729166667,0.925,0.227142857,-0.901,1.3668,0.3185,-0.488,-0.87425,-3.36425,-0.0267,0.4688,0.9107,0.027166667,-0.202,7.70975,0.607125,-1.599666667,0.209625,2.87125,-0.753285714,-1.323,-2.4415,-1.587461538,-0.2055,-0.866125,-1.061833333,1.865333333,-2.77275,0.8718,1.43,0.019375,1.12825,-0.001,1.255
TCGA-A2-A0EU-01,0.936833333,0.59725,0.418,0.8765,0.312333333,-2.3315,0.010666667,-0.467,-0.17525,0.0715,1.15025,-4.00175,-1.170833333,0.826,0.062125,-3.450166667,1.215,-0.333214286,-0.162916667,1.1156,0.13075,1.6705,-1.565625,-3.9755,-0.3474,0.4014,0.2889,0.235666667,-0.2365,5.80375,1.359375,-1.5385,0.9265,2.06575,-1.921,-1.3425,-1.2335,-1.555272727,-0.614,-0.163,-2.15,0.669333333,3.018,0.9757,0.1205,-0.2519375,1.49925,-0.8885,0.286083333
TCGA-A2-A0EV-01,0.467916667,0.50375,0.05625,-0.119,1.064166667,-1.8425,0.478,-0.4125,-2.087125,0.0275,1.8675,-1.15025,1.368,0.072333333,-0.35025,-3.0825,0.583166667,-0.311642857,-0.759916667,0.356666667,-0.0565,0.783,-0.944625,-3.58,-0.1577,0.2733,0.0743,-0.0045,-0.1151,6.564,0.799625,-1.545333333,-0.138,2.828,-2.174,-1.6145,-1.65325,-1.287428571,-0.9605,0.55175,-1.030333333,0.742166667,-1.89325,0.9795,0.0425,0.384625,1.0605,0.31,1.110416667
TCGA-A2-A0SX-01,1.090833333,0.36375,-0.46775,0.14575,1.4875,-0.76125,-1.35,0.432,-0.7345,-0.0485,-0.6,-1.9825,-1.128166667,0.717666667,-0.3725,-4.3155,-0.450666667,0.030428571,0.070333333,0.746833333,-0.04625,0.699,0.066625,-3.40525,-0.188,0.3036,1.0679,-0.129666667,0.7223,7.34175,0.487125,-0.997166667,0.51875,2.17125,-1.109375,-1.7815,-0.5145,-1.161857143,-1.001,0.442375,-0.588333333,0.008833333,-2.311,0.4243,0.1475,-0.1490625,0.98425,-0.485,-0.006166667
TCGA-A2-A0YF-01,0.065916667,2.20675,0.2785,0.23425,-0.428833333,-2.34925,-0.859,0.57175,-0.152125,0.887,1.81925,-1.4895,-0.594333333,0.089666667,0.608625,-3.775166667,0.266166667,0.232857143,-0.5975,1.066833333,1.55825,-0.3025,-0.738375,-4.435,-0.1302,0.7941,1.3596,0.511,-0.3428,5.586,0.79775,-2.049833333,0.759625,2.858375,-0.734,-1.414,-0.97625,-1.558545455,0.0585,0.105875,-0.760166667,-0.584,2.82125,0.5058,2.22,-0.58475,0.623,-0.534,0.335666667
TCGA-A2-A0YI-01,0.571916667,1.78475,0.62475,0.18075,0.7935,-2.066,-0.626666667,-0.05325,-1.44875,0.4495,1.958,-1.044,-0.906,0.625166667,-0.048875,-2.374,0.523666667,0.076357143,-0.46875,-0.174666667,0.516625,-0.5255,-0.2365,-3.3695,-0.4506,0.4633,0.8663,-0.108333333,0.0772,5.69625,0.186125,-0.5615,-0.01325,2.2005,-0.85175,-1.0765,-2.15775,-0.533642857,-0.4885,0.245125,-0.302833333,1.3585,-1.461,1.0627,-0.014,0.4561875,0.637,0.15,0.994916667
TCGA-A7-A0CD-01,0.213083333,1.3855,0.428625,0.269,-0.201333333,-1.934,-0.371166667,-0.33,0.507125,0.1695,1.91975,-1.56025,-1.023,0.286666667,-0.100625,-3.5738,1.116833333,0.904928571,-0.216166667,0.444666667,0.4565,-0.0135,-0.464875,-4.1155,-0.1955,0.3054,-1.0427,0.258833333,-0.2407,4.76875,0.98925,-1.699166667,0.786,0.51425,-1.245333333,-1.034,-0.76175,-1.082461538,0.7235,0.780125,-1.835666667,0.566333333,-0.6915,1.1435,0.0685,0.1224375,1.06125,-0.6565,1.252833333
TCGA-A8-A06O-01,0.324833333,0.0655,0.651375,0.366,0.1105,-2.14075,-0.316333333,-0.65625,0.573375,0.9425,2.07925,-3.7805,-0.4585,0.348833333,1.465125,-4.7366,0.5175,-0.358571429,-0.273083333,0.565333333,0.1335,-0.367,-0.87475,-3.8455,-0.5828,0.3977,0.5525,-0.587166667,-0.2072,5.49325,0.496,-1.099666667,0.50525,0.794625,-1.60475,-1.312,-1.773,-1.559214286,0.168,0.96,-1.136,0.107833333,-1.9855,0.3256,0.145,-0.4218125,-0.389,-1.214,1.118916667
TCGA-A8-A095-01,0.442166667,1.43475,0.525125,0.482,0.702833333,-2.17525,0.078,0.29425,-1.30225,-0.1245,2.03775,-1.97925,-0.782333333,0.538666667,-0.181,-2.358833333,0.857,-0.0035,-0.265916667,0.35825,0.438625,0.231,-0.391875,-3.687,0.1071,0.5918,0.5207,-0.3475,-0.4817,6.12775,0.701125,-0.287833333,0.3825,1.810875,-1.29975,-1.4805,-1.241,-1.513076923,-1.3165,0.216,-1.439833333,0.379833333,-2.124,0.7217,-0.1275,0.1015625,1.91075,-0.5445,0.890083333
TCGA-A8-A0AD-01,0.7,1.9115,0.226,0.2045,1.348666667,-1.50625,0.186833333,-0.40025,0.38525,0.4755,1.59875,-3.1655,-1.001666667,-0.299833333,-0.082625,-2.432166667,1.737166667,0.533285714,-0.703166667,0.179333333,0.1885,0.85,-0.3195,-4.039,-0.2789,0.5011,-0.4419,-0.058666667,0.415,3.8615,1.048,-0.821833333,0.541875,2.833375,-1.815125,-1.1705,-1.39225,-1.022714286,-0.2635,-0.141625,-0.415333333,1.729166667,-1.46775,1.0609,0.232,0.0086875,1.61375,-0.76,0.757666667
TCGA-AN-A0FF-01,0.046333333,1.2855,0.02,0.36125,-0.36,-2.61,-0.678666667,0.286,-0.803875,0.4815,2.54575,-2.078,-0.564,0.336333333,-0.395375,-3.630333333,0.737,-0.249357143,-0.561666667,3.0165,0.61975,-0.507,-0.722125,-3.95475,0.1632,0.4804,0.2672,0.137833333,-0.2261,4.987,0.549,-2.033,0.121875,2.7705,-1.524875,-1.1165,-1.69475,-0.918285714,0.179,0.01875,-0.889166667,0.061833333,-1.1125,1.0144,1.093,0.4025,1.82375,-1.284,0.870333333
TCGA-AN-A0FN-01,-0.228083333,1.92075,0.549875,0.58575,2.022833333,-1.39475,-0.407666667,0.492,-1.06275,0.4035,1.8185,-2.21325,-0.852833333,-0.082,0.042625,-1.172666667,0.341166667,0.161785714,-0.819,0.02925,0.20325,2.782,-0.60175,-2.5715,0.0494,0.5094,2.3573,-0.401166667,0.2134,6.3385,0.01825,-2.7265,-0.55725,2.238,-0.960875,-1.338,-1.777,-1.230166667,-1.9395,-0.007125,0.548,2.509,-1.86725,0.6658,2.5385,0.1835625,0.05675,-0.0475,1.2345
TCGA-AN-A0FS-01,-0.14375,0.4545,0.39075,0.61275,0.42,-1.32575,0.017666667,-0.096,0.5795,0.1345,2.09025,-0.26375,-1.161833333,-0.533166667,0.04375,-3.107,0.374166667,0.499857143,-0.27825,0.5168,0.570125,-0.086,-0.8665,-3.80975,-0.1823,0.7326,-0.0666,-0.022,-1.3356,5.99425,0.55825,-1.419166667,-0.350375,1.51525,-1.220875,-2.554,-0.72575,-1.899846154,0.013,0.581,-1.944833333,1.249666667,-2.18,0.9367,-0.5125,-0.33375,-0.28825,-0.7375,1.0575
TCGA-AN-A0FY-01,1.5645,0.72625,1.130375,-0.56825,0.579,-2.50325,-0.318166667,0.399,1.386625,0.6935,1.4445,-3.42975,-1.153833333,0.084666667,-1.5635,-3.0305,0.870166667,0.1215,-0.161166667,0.0625,0.1915,0.095,-0.759375,-3.8065,-0.1374,0.7446,-0.1292,0.522,-0.1314,4.7545,1.454125,0.690833333,0.102875,1.31125,-1.13825,-1.3105,-0.3375,-1.353214286,0.267,0.381875,-1.736,0.370333333,-1.184,0.646,-0.3805,0.314375,1.31075,-0.782,0.796
TCGA-AR-A1AJ-01,0.425583333,0.248,0.069375,0.037,0.467166667,-1.53025,-0.317,-0.09975,-1.70325,0.245,0.343,-2.7605,-0.394666667,0.853333333,0.80075,-3.945333333,-0.185666667,0.024357143,0.010916667,0.2295,0.0595,0.313,0.086625,-2.0115,-0.5229,0.869,1.6525,-0.781666667,0.2072,6.49425,-0.56825,-1.051166667,-0.65875,1.739375,-0.678125,-0.7975,-0.99925,-1.027461538,0.0645,0.53375,0.355666667,0.333666667,-0.90325,0.504,-0.705,-0.2383125,0.28075,-0.0655,0.148083333
TCGA-AR-A1AK-01,0.690916667,-0.273,0.72925,0.47125,0.328,-1.39675,-0.642166667,-0.04175,-1.820625,0.607,1.262,-0.599,-0.578833333,0.250166667,0.87225,-4.637333333,0.206166667,0.126642857,-0.510166667,2.3972,0.188125,1.239,-1.393625,-3.399,-0.1508,0.6637,0.9542,-0.7875,0.0193,6.70175,-0.136125,-1.798833333,0.45675,2.29775,-0.889375,-1.254,-0.9015,-2.102769231,-0.429,0.244875,2.31e-18,-0.418833333,-1.0715,-0.2369,-0.162,-0.368625,0.53675,-0.5825,0.916
TCGA-AR-A1AP-01,0.793166667,0.601,0.47475,-0.69875,0.900666667,-1.71525,-0.201666667,0.356,0.381,-0.1055,0.0625,-0.56125,0.582666667,0.183666667,0.31375,-2.982333333,0.1915,-1.0875,-0.28825,0.954,0.606125,-0.495,-1.139625,-3.9945,0.1084,0.3706,0.7694,-0.347833333,-0.4214,5.80725,1.416,-1.786833333,0.538,2.947125,-1.162875,0.277,-2.0135,-1.128583333,0.329,-0.378625,-0.895833333,-0.421666667,-2.49425,0.4006,1.6255,-0.2198125,0.05975,-0.009,-0.019916667
TCGA-AR-A1AX-01,0.21875,1.70525,1.101,-0.44875,1.317166667,-2.2595,-0.735166667,-0.0005,0.855285714,-0.088,0.66475,-0.7775,-0.101333333,0.8765,1.296875,-3.935,0.6205,0.251071429,-0.203,1.9902,0.492,0.4825,-0.3765,-3.75375,-0.8099,0.5923,2.7151,-0.782333333,0.2349,7.557,0.383375,-1.682833333,0.28025,2.213375,0.198375,-1.1075,-1.39,-0.586692308,0.331,0.319375,-0.1335,0.2415,-1.5255,0.7251,-0.405,-0.872625,0.99975,0.734,0.486583333
TCGA-AR-A1AY-01,0.458416667,0.75425,-1.025875,-0.751,1.563,-0.105,-0.132166667,0.03525,-1.852285714,-0.63,0.39475,-0.97325,-1.297833333,0.454166667,2.07525,-3.589833333,1.012333333,-0.813571429,-0.467583333,1.2764,0.135714286,-0.426,0.659625,-3.1335,-0.8585,0.3432,-0.2214,-1.355,-0.3471,7.8925,0.57725,-1.529333333,-0.25325,0.190125,-0.917571429,-1.9145,-0.2375,-1.042909091,0.45,0.229875,-0.346333333,-0.249666667,-1.9285,0.6769,,-0.852125,-0.0875,-1.4495,-0.020583333
TCGA-B6-A0RN-01,-0.196416667,1.2605,0.540375,0.738,1.184166667,-2.13825,0.064166667,-0.06175,0.97125,0.8345,1.34175,-2.80475,-1.012166667,0.057333333,-0.582375,-2.196,1.002,0.941071429,-0.663916667,-0.031333333,0.403625,-0.35,-1.04025,-3.43525,0.2192,0.5262,0.8173,0.058833333,-0.5606,2.77475,1.026,-0.365333333,0.0265,2.69875,-1.3295,-1.1885,-1.7095,-0.950769231,0.121,-0.2365,-1.382666667,1.272833333,-2.18775,1.0717,0.535,-0.173,-0.14125,-0.439,0.37025
TCGA-B6-A0RU-01,0.217166667,0.547,1.031625,0.29375,0.2785,0.29225,0.677666667,0.08825,-0.84425,0.49,0.27075,2.93875,-0.4345,-0.159166667,0.12825,-3.634833333,0.974666667,0.519928571,-0.4275,1.123666667,-0.126,0.3565,0.1845,-2.86975,-0.3233,0.3149,0.036,0.144666667,0.0486,7.59975,0.18325,-0.289833333,-0.00875,2.187375,-1.21975,-0.826,-0.6565,-0.788285714,0.2905,-0.19775,-0.6705,0.433666667,-1.3945,0.5973,0.6075,0.0568125,0.05775,-0.532,0.70425
TCGA-B6-A0X0-01,-0.210083333,1.368,1.0245,-0.716,-0.346833333,-2.116,-0.480333333,0.32475,1.034875,0.5105,1.3545,-1.56625,-0.5525,-0.059,0.305625,-4.148833333,1.368,1.266142857,-0.893916667,1.272666667,-0.46825,-0.7905,-1.372375,-2.95075,0.2582,-0.1819,-0.0776,0.280833333,-0.1837,5.7815,0.518125,-0.287166667,0.9055,3.208,-0.831375,-1.0855,-1.67075,-1.2025,-0.578,-0.490625,-2.028833333,-0.395833333,-1.20075,0.4456,0.854,-0.87425,1.244,-2.054,0.8515
TCGA-BH-A0AV-01,-0.123083333,1.144,0.298375,-0.5355,2.458666667,-0.393,-0.7455,-0.01675,-1.725625,-0.05,1.08075,-2.3765,-1.082,0.317166667,-0.257875,-1.715833333,0.681166667,0.869357143,-0.915333333,0.216333333,-0.13,-0.286,0.322375,-3.21975,-0.486,0.2554,-0.2684,-0.438166667,0.3512,7.3235,-0.751625,-0.341666667,0.177125,1.053625,-1.741875,-1.6645,-1.37,-1.8715,0.0745,-0.09725,-1.287166667,1.110166667,-1.6325,0.9341,0.667,-0.1531875,-0.61675,-0.2875,0.992
TCGA-BH-A0B0-01,0.352,2.26325,0.54425,-0.36875,2.801166667,-1.144,-0.6115,0.26925,-2.5955,0.751,1.3615,-1.476,-0.473166667,-0.310666667,0.132875,-2.004666667,0.7725,-0.247642857,-1.139166667,0.549333333,-0.59375,0.2915,-1.587625,-3.27975,0.508,0.1702,1.6803,0.310333333,0.2259,6.6735,0.44375,-0.624166667,1.016125,1.506,-0.955875,-1.1485,-2.61975,-1.112166667,0.2075,-0.768625,-0.89,1.454833333,-1.6475,1.0784,1.448,-0.0108125,-0.72325,-0.612,0.769416667
TCGA-BH-A0B9-01,-0.046666667,0.065,1.100375,-1.05375,-0.9985,-1.985,-1.393,0.76625,-0.559375,0.404,-0.045,-2.16025,-0.768,0.218666667,-1.34825,-4.270666667,0.576333333,1.303928571,-0.17225,0.611,0.019625,0.4055,-1.010125,-2.449,-0.9761,0.8578,1.7752,-0.303,0.3006,8.17725,-0.516125,-1.281166667,-0.247875,1.298125,-2.172875,-0.9655,-0.73125,-1.472,0.2445,-0.46225,-0.884166667,-1.5485,-0.942,0.5113,0.469,-0.3498125,1.37325,-0.21,0.15425
TCGA-BH-A0BG-01,-0.095083333,0.57775,1.045625,-0.3715,-0.046666667,-0.98875,-1.1825,0.087,-1.8775,0.4925,0.49625,0.3165,-0.9195,0.979166667,-0.1895,-4.597833333,1.148333333,0.500714286,-0.222333333,0.337333333,0.319875,0.1285,-0.836875,-1.58225,-0.6276,0.7851,1.5842,-0.002166667,0.1729,6.9125,0.379,-1.6285,-0.23225,1.53,-1.2965,-1.7195,-1.28975,-1.692307692,-0.122,-0.181625,-0.786666667,0.734833333,-1.75425,1.1323,-1.007,0.7383125,-0.8085,-0.231,1.117
TCGA-BH-A0BL-01,-0.4615,0.64925,0.410125,0.19,1.1205,-0.37,-0.5225,0.06825,-1.9085,0.2475,0.8,0.14825,-0.7945,0.827666667,0.80025,-3.410833333,1.173,0.048214286,-0.707666667,0.490333333,0.077375,-0.8615,0.103375,-2.61175,0.1471,1.0039,1.5746,-0.470166667,-0.0397,5.3335,0.347,-1.303166667,-0.351875,1.53675,-1.3465,-1.5045,-1.275,-1.229714286,-0.463,0.533875,0.110833333,1.906833333,-1.0895,0.7249,0.057,0.775125,-0.45,-0.6845,0.60325
TCGA-BH-A0BO-01,0.189333333,1.1205,0.2495,0.368,1.7775,-2.00125,-0.391166667,-0.1995,0.2045,-0.188,1.50775,-0.23775,-0.538,0.539333333,0.126125,-3.2625,0.8115,-0.064214286,-0.19175,0.501,0.1885,1.165,-0.308,-3.256,-0.3255,0.4055,-0.0296,-0.4355,0.0241,6.922,0.1815,-1.9935,0.18375,2.544875,-0.82475,-1.507,-2.18475,-0.861083333,0.186,0.08725,0.324666667,1.4135,-1.64025,0.9462,0.704,-0.22225,-0.547,-0.553,0.894833333
TCGA-BH-A0BP-01,-0.045,0.6875,0.008625,0.29375,0.4855,-0.9305,-0.294666667,-0.3095,0.9055,0.368,1.454,-0.41025,-0.157166667,0.625166667,0.9335,-2.826166667,0.497666667,-0.366142857,-1.83625,0.635666667,0.275375,-0.253,-0.357125,-3.57,-0.3169,0.4912,0.563,-0.4235,-0.4648,5.6205,0.425,-0.472666667,-0.036375,1.792,-1.12625,-0.895,-2.44825,-1.282214286,0.018,0.414375,-0.934,2.183833333,-1.06275,0.8183,0.312,0.5040625,-1.2055,-0.0815,0.958416667
TCGA-BH-A0BQ-01,0.84825,1.09025,0.258875,-0.05175,1.8325,-1.33575,-0.365666667,0.31575,0.3855,0.0265,0.93525,-0.41975,-0.826666667,0.2915,-0.1445,-1.748833333,0.519,0.1375,-0.336666667,0.126166667,0.436375,-0.2075,-0.45675,-3.3635,0.0635,0.1022,1.0419,-0.152166667,0.0162,6.67825,0.831875,-1.844666667,0.45175,2.44275,-0.813125,-1.117,-1.7335,-1.116142857,0.363,-0.76675,-1.612833333,1.007166667,-1.289,0.4071,-0.292,-0.1813125,0.39175,-0.2825,0.27825
TCGA-BH-A0BR-01,0.399916667,1.27325,-0.297875,-0.52425,1.395166667,-1.55125,-0.2735,-0.3845,1.0355,-0.0105,0.75725,-2.33675,-0.138,0.573166667,-0.719375,-2.436166667,0.473166667,0.042642857,-1.0245,0.7305,0.212,-0.1835,0.583125,-2.8875,0.0443,0.4354,0.3371,0.231,-0.041,6.73125,-0.1,-1.322,-0.239625,1.07875,-1.22425,1.219,-1.8115,-0.964071429,-0.1395,-0.227,-0.618666667,1.200833333,-0.905,0.6924,0.2875,0.3385,1.018,0.255,0.868583333
TCGA-BH-A0BW-01,0.854833333,-0.11825,-0.299125,-0.706,-0.0185,-0.94225,-0.661666667,-0.43525,0.004857143,0.525,0.9235,-0.70575,-0.601,0.8545,0.18475,-3.937,-0.124333333,-0.711428571,0.60425,0.5524,0.907625,-0.3955,0.213375,-1.52075,-0.7273,0.9708,1.0662,-0.1645,-0.2616,5.40675,0.1205,-1.273833333,0.08225,1.2485,-1.599625,-0.5825,-1.04875,-2.5505,-0.844,0.29925,-0.392166667,-2.393,-0.93725,-0.3008,0.443,0.3226875,1.05925,-1.0455,0.632833333
TCGA-BH-A0C3-01,0.377833333,0.852,0.41825,0.20175,1.49,-1.82425,0.167666667,0.41925,0.166,0.088,2.705,-1.05975,-0.730333333,0.908833333,0.492875,-3.253333333,0.708666667,-0.475428571,-0.376166667,0.5984,0.340375,0.663,0.428375,-3.3585,-0.3998,-0.0258,1.7545,-1.007,-0.0324,4.53725,0.451,-2.726166667,0.391375,2.159875,-0.8395,-1.594,-1.7695,-1.365357143,-0.141,-0.000875,-1.020166667,1.525333333,3.5935,0.4618,5.115,-0.479625,0.44725,-0.5275,0.007166667
TCGA-BH-A0HB-01,0.21325,0.265,0.046875,0.43325,-0.266666667,-2.398,0.145333333,-0.34775,0.646125,0.7865,1.44725,-2.36525,-0.828833333,0.866,0.245125,-4.095,-0.211333333,-0.356,-0.304083333,0.816666667,0.372,0.32,-0.450125,-2.8535,0.2748,1.1681,1.5657,0.706333333,-0.4119,7.151,1.609,-1.693333333,0.242,1.679375,-1.432142857,-0.8675,-1.763,-0.728,0.067,0.04575,-0.8935,-0.14,-0.0695,0.6356,0.329,0.0224375,-0.2625,-0.8435,0.893333333
TCGA-BH-A0HI-01,0.211583333,0.511,0.90125,0.73225,0.494,-2.38525,0.103,0.16225,0.0065,0.309,0.91725,-1.05375,0.183833333,0.252833333,0.495875,-3.494166667,0.912666667,0.557,-0.6855,-0.013166667,0.0515,-0.186,-0.34875,-3.5425,-0.1726,1.0204,1.5628,-0.296166667,-0.6656,6.5265,1.1345,-0.327,0.103375,2.071,-0.707125,-1.1355,-1.3465,-1.405428571,0.4685,0.135375,-1.1645,-0.696833333,-1.18575,0.1009,-0.1595,-0.828375,0.164,-0.526,0.587416667
TCGA-E2-A15C,0.211583333,0.511,0.90125,0.73225,0.494,-2.38525,0.103,0.16225,0.0065,0.309,0.91725,-1.05375,0.183833333,0.252833333,0.495875,-3.494166667,0.912666667,0.557,-0.6855,-0.013166667,0.0515,-0.186,-0.34875,-3.5425,-0.1726,1.0204,1.5628,-0.296166667,-0.6656,6.5265,1.1345,-0.327,0.103375,2.071,-0.707125,-1.1355,-1.3465,-1.405428571,0.4685,0.135375,-1.1645,-0.696833333,-1.18575,0.1009,-0.1595,-0.828375,0.164,-0.526,0.587416667
TCGA-E2-A15F,0.2285,0.0855,1.413,0.11075,-0.783333333,-2.338,-0.898,-0.022,-1.622,-0.073,1.606,-1.92375,-0.834166667,0.859666667,0.1075,1.289,0.596333333,-0.62,-0.319166667,1.0,0.674875,0.36,-0.48675,-3.64525,-0.5442,1.5585,1.5781,-0.210833333,-0.7957,6.56225,0.9585,-1.416833333,0.451125,1.392875,-0.477375,-1.5475,-1.13125,-1.772142857,0.697,0.114125,-0.4365,-2.465333333,-0.799,-0.0345,-0.7915,-1.015375,0.30975,-0.116,-0.17375
TCGA-E2-A15O,0.909833333,0.724,0.176375,1.41425,-0.323166667,-1.71525,-0.511,-0.26125,-1.8425,0.101,1.12175,-0.81425,-0.044333333,0.7665,1.001375,-4.167166667,0.667166667,-0.529142857,0.40275,0.799833333,0.44525,-0.4945,-1.017125,-3.89575,0.5128,0.3946,0.9083,-0.416833333,-0.0828,4.88725,1.48725,-0.92,0.612625,0.447875,-1.40675,-1.709,-1.8305,-1.698384615,-0.0455,-0.278125,-2.430166667,0.440333333,3.173,0.6327,-1.2975,1.470125,0.35625,-0.564,0.197833333
TCGA-E2-A15P,0.672833333,1.13775,0.06375,-0.08375,0.243666667,-2.0575,-0.272666667,-0.02725,-0.27225,-0.1995,1.95025,-0.516,0.350833333,0.6725,-0.062625,-3.868,1.022166667,-0.470214286,0.100916667,0.921833333,1.255125,0.572,0.422,-3.943,-0.0654,0.8499,0.2978,-0.112333333,-0.4791,5.4575,0.579,-0.5735,-0.736875,0.751375,-0.937375,-1.643,-0.81175,-1.568692308,-0.2485,0.348125,-1.828666667,1.583833333,-1.87225,0.8113,0.471,0.3118125,-0.2155,-0.7235,0.194666667
TCGA-E2-A1BC,0.098833333,1.63025,0.64975,-0.44975,1.637166667,-2.23875,-0.101833333,0.4055,1.533,-0.5785,2.27475,-2.736,-0.609,0.455166667,0.602125,-2.606166667,1.159166667,-0.006642857,-0.76975,1.076666667,0.558,-2.034,-0.51125,-4.0335,-0.1531,0.608,0.075,0.299666667,-0.0253,5.38475,0.55425,-1.643666667,0.646125,2.015125,-1.358,-1.961,-2.30475,-1.263,-0.384,-0.19,-1.485333333,1.5875,-1.37625,0.8711,0.5125,-0.1874375,0.88875,-0.5505,1.17675
